EU rejects German call to boycott British lamb .	NNP VBZ JJ NN TO VB JJ NN .
Chris Witty ( US ) 41.75 ; 10 .	NNP NNP ( NNP ) CD : LS .
Anke Baler ( Germany ) 41.76 .	NNP NNP ( NNP ) CD .
Men 's 1,000 metres first round :	NN POS CD NNS RB NN :
1. Sylvain Bouchard ( Canada ) 1 minute 16.24 seconds	CD NNP NNP ( NNP ) CD NN CD NNS
2. Sergey Klevchenya ( Russia ) 1:16.31	CD NNP NNP ( NNP ) CD
3. Jan Bos ( Netherlands ) 1:16.38	NNP NNP NNP ( NNP ) CD
4. Grunde Njos ( Norway ) 1:16.44	CD NNP NNP ( NNP ) CD
5. Lee Kyou-hyuk ( South Korea ) 1:16.47	NNP NNP NNP ( NNP NNP ) CD
6. Inoue Junichi ( Japan ) 1:16.61	CD NNP NNP ( NNP ) CD
7. Gerard Van Velde ( Netherlands ) 1:16.63	NNP NNP NNP NNP ( NNP ) CD
8. Kim Yoon-man ( South Korea ) 1:16.75	NNP NNP NNP ( NNP NNP ) CD
9. Jeremy Wotherspoon ( Canada ) 1:16.75	CD NNP NNP ( NNP ) CD
10. Miyabe Yasunori ( Japan ) 1:16.86	CD NNP NNP ( NNP ) CD
Women 's 1,000 metres first round :	NNS POS CD NNS RB NN :
1. Franziska Schenk ( Germany ) 1:23.17	CD NNP NNP ( NNP ) CD
2. Kusunose Shiho ( Japan ) 1:24.77	CD NNP NNP ( NNP ) CD
3. Marianne Timmer ( Netherlands ) 1:24.86	NNP NNP NNP ( NNP ) CD
4. Anka Baier ( Germany ) 1:25.16	CD NNP NNP ( NNP ) CD
5. Becky Sundstrom ( U.S. ) 1:25.39	CD NNP NNP ( NNP ) CD
6. Shimazaki Kyoko ( Japan ) 1:25.51	CD NNP NNP ( NNP ) CD
7. Oksana Ravllova ( Russia ) 1:25.55	CD NNP NNP ( NNP ) CD
8. Sammiya Eriko ( Japan ) 1:25.79	CD NNP NNP ( NNP ) CD
9. Chris Witty ( U.S. ) 1:25.85	CD NNP NNP ( NNP ) CD
10. Xue Rulhong ( China ) 1:25.89	CD NNP NNP ( NNP ) CD
ALPINE SKIING-OFFICIALS HOPE TO SALVAGE WORLD CUP WEEKEND .	NNP NNP NNP TO NN NN RP VBN .
WHISTLER , British Columbia 1996-12-06	NNP , NNP NNP CD
World Cup ski officials hope to be able to get in at least one men 's downhill training run on Saturday in an effort to salvage the weekend racing programme .	NNP NNP NN NNS VBP TO VB JJ TO VB RP IN JJS CD NNS POS RB NN NN IN NNP IN DT NN TO VB DT NN VBG NNS .
For the third consecutive day , Friday 's scheduled training runs were cancelled due to heavy wet snow and fog on Whistler Mountain , leaving the scheduled World Cup events in jeopardy .	IN DT JJ JJ NN , NNP POS VBN NN NNS VBD VBN JJ TO JJ JJ NN CC VB IN NNP NNP , VBG DT VBN NNP NNP NNS IN NN .
Rules call for at least one training run to be completed before a World Cup downhill race can be staged .	NNS VBP IN IN JJS CD NN VB TO VB VBN IN DT NNP NNP RB NN MD VB VBN .
Organisers hope to get that run in on Saturday morning , conditions permitting , and stage the race later in the day or on Sunday .	NNS VBP TO VB DT NN IN IN NNP NN , NNS VBG , CC VB DT NN RBR IN DT NN CC IN NNP .
" There was no possibility today to make a training run , " said Bernd Zobel , the Canadian men 's national coach , citing too much new snow and poor visibility .	" EX VBD DT NN NN TO VB DT NN NN , " VBD NNP NNP , DT JJ NNS POS JJ NN , VBG RB JJ JJ NN CC JJ NN .
If organisers are forced to run the downhill on Sunday , the super-giant slalom originally scheduled for Sunday would likely be abandoned .	IN NNS VBP VBN TO VB DT RB IN NNP , DT JJ NN RB VBN IN NNP MD RB VB VBN .
SOCCER - LEADING SCOTTISH PREMIER DIVISION SCORERS .	NN : NNP JJ NNPS NNP NNS .
GLASGOW 1996-12-07	NNP CD
Leading goalscorers in the	JJ NNS IN DT
Scottish premier division after Saturday 's matches :	JJ JJ NN IN NNP POS NNS :
10 - Billy Dodds ( Aberdeen ) , Pierre Van Hooydonk ( Celtic )	CD : NNP NNP ( NNP ) , NNP NNP NNP ( NNP )
9 - Paul Gascoigne ( Rangers )	CD : NNP NNP ( NNPS )
7 - Paul Wright ( Kilmarnock ) , Ally McCoist ( Rangers )	CD : NNP NNP ( NN ) , NNP NNP ( NNPS )
6 - Andreas Thom ( Celtic ) , Dean Windass ( Aberdeen ) ,	CD : NNP NNP ( NNP ) , NNP NNP ( NNP ) ,
Brian Laudrup ( Rangers ) , Darren Jackson	NNP NNP ( NNPS ) , NNP NNP
( Hibernian )	( NNP )
5 - Peter van Vossen ( Rangers ) , Gerry Britton	CD : NNP NNP NNP ( NNPS ) , NNP NNP
( Dunfermline ) , Colin Cameron ( Hearts ) , Robert	( NNP ) , NNP NNP ( NNPS ) , NNP
Winters ( Dundee United ) , Paolo Di Canio ( Celtic ) .	NNS ( NNP NNP ) , NNP NNP NNP ( NNP ) .
SOCCER - LEADING ENGLISH GOALSCORERS .	NN : NNP JJ NNS .
LONDON 1996-12-07	NNP CD
Leading goalscorers in the English	JJ NNS IN DT NNP
premier league after Saturday 's matches :	NN NN IN NNP POS NNS :
13 - Ian Wright ( Arsenal )	CD : NNP NNP ( NNP )
9 - Fabrizio Ravanelli ( Middlesbrough ) , Alan Shearer	CD : NNP NNP ( NNP ) , NNP NNP
( Newcastle )	( NNP )
8 - Matthew Le Tissier ( Southampton ) , Dwight Yorke ( Aston	CD : NNP NNP NNP ( NNP ) , NNP NNP ( NNP
Villa ) , Les Ferdinand ( Newcastle ) , Efan Ekoku ( Wimbledon ) ,	NNP ) , NNP NNP ( NNP ) , NNP NNP ( NNP ) ,
Gianluca Vialli ( Chelsea )	NNP NNP ( NNP )
7 - Robbie Earle ( Wimbledon ) , Les Ferdinand ( Newcastle )	CD : NNP NNP ( NNP ) , NNP NNP ( NNP )
6 - Marcus Gayle ( Wimbledon ) , Gary Speed ( Everton ) , Chris	CD : NNP NNP ( NNP ) , NNP VB ( NNP ) , NNP
Sutton ( Blackburn )	NNP ( NNP )
5 - Robbie Fowler ( Liverpool ) , Steve McManaman ( Liverpool )	CD : NNP NNP ( NN ) , NNP NNP ( NN )
4 - Peter Beardsley ( Newcastle ) .	CD : NNP NNP ( NNP ) .
SOCCER - NORTHERN IRELAND PREMIER DIVISION RESULTS / STANDINGS .	NN : NNP NNP NNPS NNP NNS SYM NNS .
LONDON 1996-12-07	NNP CD
Results of Northern Ireland premier	NNS IN NNP NNP NN
division matches on Saturday :	NN NNS IN NNP :
Ards 0 Crusaders 0	RB CD NNPS CD
Cliftonville 1 Portadown 1	VB CD NNP CD
Glenavon 2 Linfield 1	NN CD NNP CD
Glentoran 1 Coleraine 0	NNP CD NNP CD
Standings ( tabulated - played , won , drawn , lost , goals for ,	NNS ( VBN : VBN , VBD , VBN , VBD , NNS IN ,
goals against , points ) :	NNS IN , VBZ ) :
Coleraine 10 7 1 2 18 11 22	NNP CD CD CD CD CD CD CD
Linfield 10 4 3 3 13 10 15	RB CD CD CD CD CD CD CD
Crusaders 10 3 4 3 11 9 13	NNPS CD CD CD CD CD CD CD
Glenavon 10 3 4 3 15 14 13	NN CD CD CD CD CD CD CD
Glentoran 10 3 3 4 18 18 12	NNP CD CD CD CD CD CD CD
Portadown 9 3 3 3 11 12 12	NNP CD CD CD CD CD CD CD
Ards 10 3 2 5 12 17 11	RB CD CD CD CD CD CD CD
Cliftonville 9 1 4 4 5 12 7	VB CD CD CD CD CD CD CD
RUGBY UNION - BRITISH RESULTS .	NNP NN : JJ NNS .
LONDON 1996-12-07	NNP CD
Results of British rugby union	NNS IN JJ JJ NN
matches on Saturday :	NNS IN NNP :
Pilkington Cup fourth round	NNP NNP JJ NN
Reading 50 Widnes 3	VBG CD NNPS CD
English division one	JJ NN CD
Bath 35 Harlequins 20	IN CD NNP CD
Gloucester 29 London Irish 19	NNP CD NNP NNP CD
Orrell 22 West Hartlepool 15	NNP CD NNP NNP CD
Wasps 15 Bristol 13	NNS CD NNP CD
Welsh division one	NNP NN CD
Caerphilly 20 Cardiff 34	RB CD NNP CD
Llanelli 97 Newbridge 10	RB CD NNP CD
Newport 45 Dunvant 22	NNP CD NNP CD
Pontypridd 53 Bridgend 9	NNP CD NNP CD
Swansea 49 Neath 10	NN CD NNP CD
Treorchy 13 Ebbw Vale 17	NN CD VBG NNP CD
Scottish division one	JJ NN CD
Boroughmuir 31 Watsonians 35	NNP CD NNP CD
SOCCER - SCOTTISH PREMIER DIVISION SUMMARIES .	NN : NNP NNPS NNP NNP .
GLASGOW 1996-12-07	NNP CD
Summaries of Scottish premier division matches played on Saturday :	NNS IN JJ JJ NN NNS VBN IN NNP :
Dunfermline 2 ( Millar 43 , 46 penalty ) Aberdeen 3 ( Miller 10 , Rowson 55 , Windass 78 ) .	NN CD ( JJ CD , CD NN ) NNP CD ( NNP CD , NNP CD , NNP CD ) .
Halftime 1-1 .	VB NNP .
Attendance : 5,465	NNP : CD
Hearts 0 Raith 0 .	NNPS CD NNP CD .
10,719	CD
Kilmarnock 0 Dundee United 2 ( Olafsson 22 , 51 ) .	NN CD NNP NNP CD ( NNP CD , CD ) .
0-1 .	JJ .
5,812	CD
Motherwell 2 ( Davies 39 , Ross 89 ) Celtic 1 ( Hay 83 ) .	NNP CD ( NNP CD , NNP CD ) NNP CD ( NN CD ) .
1-0 .	CD .
11,589	CD
Rangers 4 ( Ferguson 34 , McCoist 71 74 , Laudrup 83 ) Hibernian 3 ( Wright 21 , Jackson 41 , McGinlay 86 ) .	NNPS CD ( NNP CD , NN CD CD , NNP CD ) NNP CD ( NNP CD , NNP CD , NNP CD ) .
1-2 .	NN .
48,053 .	CD .
RUGBY UNION - RETIRING CAMPESE WEIGHS UP OPTIONS .	NNP NN : NNP NNP NNP RP NNS .
LONDON 1996-12-07	NNP CD
David Campese will consider offers to play club rugby in England but looks more likely to spend the next year chasing business opportunities in Australia .	NNP NNP MD VB NNS TO VB NN NN IN NNP CC VBZ RBR JJ TO VB DT JJ NN NN NN NNS IN NNP .
The 34-year-old winger played his final game in a Wallaby jersey on Saturday but is currently a target for clubs eager to match London side Saracens who have already snapped up Francois Pienaar , Michael Lynagh and Philippe Sella .	DT JJ NN VBD PRP$ JJ NN IN DT NNP NN IN NNP CC VBZ RB DT NN IN NNS JJ TO VB NNP NN NNPS WP VBP RB VBN RP NNP NNP , NNP NNP CC NNP NNP .
" If the opportunity is there I 'd obviously think about it but the thing that holds me back is business , " said Campese .	" IN DT NN VBZ EX PRP MD RB VB IN PRP CC DT NN WDT VBZ PRP RB VBZ NN , " VBD NNP .
" I 'd like to come over but there are a lot of things happening at home .	" PRP MD VB TO VB IN CC EX VBP DT NN IN NNS VBG IN NN .
I 've also got a contract to play for New South Wales in the Super 12 next year . "	PRP VBP RB VBN DT NN TO VB IN NNP NNP NNP IN DT NNP CD JJ NN . "
Former Wallaby captain Nick Farr-Jones believes Campese may yet be tempted to England .	NNP NNP NN NNP NNP VBZ NNP MD RB VB VBN TO NNP .
" I 'm sure there are a few people in England who 'd be delighted to have David Campese in their club 's jersey , " he said .	" PRP VBP JJ EX VBP DT JJ NNS IN NNP WP MD VB JJ TO VB NNP NNP IN PRP$ NN POS NN , " PRP VBD .
SOCCER - ENGLISH PREMIER LEAGUE SUMMARIES .	NN : JJ NNPS NNP NNP .
LONDON 1996-12-07	NNP CD
Summaries of English premier	NNS IN JJ NN
lealgue matches on Saturday :	NN NNS IN NNP :
Arsenal 2 ( Adams 45 , Vieira 90 ) Derby 2 ( Sturridge 62 , Powell	JJ CD ( NNP CD , NNP CD ) NNP CD ( NNP CD , NNP
71 ) .	LS ) .
Halftime 1-0 .	VB NNP .
Attendance : 38,018	NNP : CD
Chelsea 2 ( Zola 12 , Vialli 55 ) Everton 2 ( Branch 17 ,	NNP CD ( NNP CD , NNP CD ) NNP CD ( NNP CD ,
Kanchelskis 28 ) .	NNS CD ) .
1-2 .	NN .
28,418	CD
Coventry 1 ( Whelan 60 ) Tottenham 2 ( Sheringham 27 , Sinton 75 ) .	NNP CD ( NNP CD ) NN CD ( NNP CD , NNP CD ) .
0-1 .	JJ .
19,675	CD
Leicester 1 ( Marshall 78 ) Blackburn 1 ( Sutton 34 ) .	NNP CD ( NNP CD ) NNP CD ( NNP CD ) .
0-1 .	JJ .
19,306	CD
Liverpool 0 Sheffield Wednesday 1 ( Whittingham 22 ) .	NNP CD NNP NNP CD ( UH CD ) .
0-1 .	JJ .
39,507	CD
Middlesbrough 0 Leeds 0 .	JJ CD NNPS CD .
30,018	CD
Southampton 0 Aston Villa 1 ( Townsend 34 ) .	NNP CD NNP NNP CD ( NNP CD ) .
0-1 .	JJ .
15,232	CD
Sunderland 1 ( Melville 83 ) Wimbledon 3 ( Ekoku 8 , 29 , Holdsworth	NNP CD ( NNP CD ) NNP CD ( NNP CD , CD , NNP
89 ) .	LS ) .
0-2 .	NN .
19,672 .	CD .
SOCCER - SCOTTISH LEAGUE STANDINGS .	NN : NNP NNP NNP .
GLASGOW 1996-12-07	NNP CD
Scottish league standings after	JJ NN NNS IN
Saturday 's matches ( tabulated - played , won , drawn , lost , goals	NNP POS NNS ( VBN : VBN , VBD , VBN , VBD , NNS
for , goals against , points ) :	IN , NNS IN , VBZ ) :
Premier division	NNP NN
Rangers 14 11 2 1 35 12 35	NNPS CD CD CD CD CD CD CD
Celtic 14 8 3 3 32 15 27	NNP CD CD CD CD CD CD CD
Aberdeen 15 7 4 4 28 19 25	NNP CD CD CD CD CD CD CD
Hearts 15 5 6 4 18 19 21	NNPS CD CD CD CD CD CD CD
Hibernian 15 5 3 7 16 25 18	NN CD CD CD CD CD CD CD
Dundee United 15 4 5 6 17 17 17	NNP NNP CD CD CD CD CD CD CD
Motherwell 15 4 5 6 17 23 17	NNP CD CD CD CD CD CD CD
Dunfermline 14 4 5 5 19 27 17	NN CD CD CD CD CD CD CD
Raith 15 3 3 9 14 27 12	NNS CD CD CD CD CD CD CD
Kilmarnock 14 3 2 9 17 29 11	NN CD CD CD CD CD CD CD
Division One	NNP CD
St Johnstone 17 12 2 3 36 8 38	NNP NNP CD CD CD CD CD CD CD
Falkirk 17 9 2 6 18 15 29	NN CD CD CD CD CD CD CD
Airdrieonians 16 6 8 2 26 16 26	NNPS CD CD CD CD CD CD CD
Dundee 16 7 5 4 12 8 26	NNP CD CD CD CD CD CD CD
Partick 16 6 6 4 23 16 24	NNP CD CD CD CD CD CD CD
St Mirren 16 7 2 7 22 21 23	NNP NNP CD CD CD CD CD CD CD
Greenock Morton 16 6 4 6 17 16 22	NNP NNP CD CD CD CD CD CD CD
Clydebank 16 4 2 10 11 25 14	NNP CD CD CD CD CD CD CD
Stirling 16 3 3 10 18 33 12	NNP CD CD CD CD CD CD CD
East Fife 14 1 4 9 10 35 7	NNP NNP CD CD CD CD CD CD CD
Division Two	NNP CD
Ayr 16 11 2 3 30 18 35	NNP CD CD CD CD CD CD CD
Livingston 16 10 4 2 27 13 34	NNP CD CD CD CD CD CD CD
Hamilton 15 9 4 2 31 11 31	NNP CD CD CD CD CD CD CD
Clyde 15 6 4 5 21 20 22	NNP CD CD CD CD CD CD CD
Queen of South 16 6 4 6 24 27 22	NNP IN NNP CD CD CD CD CD CD CD
Stenhousemuir 15 4 5 6 18 12 17	NNP CD CD CD CD CD CD CD
Stranraer 15 5 2 8 13 21 17	NNP CD CD CD CD CD CD CD
Dumbarton 16 4 4 8 18 29 16	NN CD CD CD CD CD CD CD
Brechin 16 3 6 7 14 20 15	NN CD CD CD CD CD CD CD
Berwick 16 1 3 12 16 41 6	NNP CD CD CD CD CD CD CD
Division Three	NN CD
Montrose 17 9 3 5 30 25 30	VB CD CD CD CD CD CD CD
Inverness Thistle 16 8 5 3 28 20 29	NNP NNP CD CD CD CD CD CD CD
Ross County 17 8 3 6 27 23 27	NNP NNP CD CD CD CD CD CD CD
Alloa 16 7 4 5 24 21 25	NN CD CD CD CD CD CD CD
Cowdenbeath 15 7 3 5 22 16 24	VB CD CD CD CD CD CD CD
Albion 16 6 6 4 21 17 24	NNP CD CD CD CD CD CD CD
Forfar 15 6 4 5 26 24 22	NNP CD CD CD CD CD CD CD
Queen 's Park 16 3 5 8 20 30 14	NNP POS NNP CD CD CD CD CD CD CD
Arbroath 16 2 6 8 12 23 12	NN CD CD CD CD CD CD CD
East Stirling 16 2 5 9 14 25 11	NNP NNP CD CD CD CD CD CD CD
SOCCER - ENGLISH LEAGUE STANDINGS .	NN : JJ NN NNS .
LONDON 1996-12-07	NNP CD
Standings in English league soccer	NNS IN JJ NN NN
after Saturday 's matches ( tabulated - played , won , drawn , lost ,	IN NNP POS NNS ( VBN : VBN , VBD , VBN , VBD ,
goals for , goals against , points ) :	NNS IN , NNS IN , VBZ ) :
Premier league	NNP NN
Arsenal 17 10 5 2 34 16 35	JJ CD CD CD CD CD CD CD
Wimbledon 16 9 4 3 29 17 31	NN CD CD CD CD CD CD CD
Liverpool 16 9 4 3 26 14 31	NNP CD CD CD CD CD CD CD
Aston Villa 17 9 3 5 22 15 30	NNP NNP CD CD CD CD CD CD CD
Newcastle 15 9 2 4 26 17 29	NNP CD CD CD CD CD CD CD
Manchester United 15 7 5 3 29 22 26	NNP NNP CD CD CD CD CD CD CD
Chelsea 16 6 7 3 25 23 25	NNP CD CD CD CD CD CD CD
Everton 16 6 6 4 25 20 24	NN CD CD CD CD CD CD CD
Sheffield Wednesday 16 6 6 4 17 18 24	NNP NNP CD CD CD CD CD CD CD
Tottenham 16 7 2 7 17 17 23	NNP CD CD CD CD CD CD CD
Derby 16 5 7 4 19 19 22	NNP CD CD CD CD CD CD CD
Leicester 17 6 3 8 17 22 21	NNP CD CD CD CD CD CD CD
Leeds 16 6 2 8 15 20 20	NNS CD CD CD CD CD CD CD
Sunderland 16 4 5 7 14 21 17	NNP CD CD CD CD CD CD CD
West Ham 16 4 5 7 13 20 17	NNP NNP CD CD CD CD CD CD CD
Middlesbrough 17 3 6 8 20 28 15	JJ CD CD CD CD CD CD CD
Blackburn 16 2 7 7 16 21 13	VBN CD CD CD CD CD CD CD
Southampton 17 3 4 10 24 32 13	NN CD CD CD CD CD CD CD
Coventry 16 1 7 8 10 23 10	NNP CD CD CD CD CD CD CD
Nottingham Forest 15 1 6 8 12 25 9	NNP NNP CD CD CD CD CD CD CD
Division One	NNP CD
Bolton 21 11 8 2 43 28 41	NNP CD CD CD CD CD CD CD
Sheffield United 21 11 6 4 38 20 39	NNP NNP CD CD CD CD CD CD CD
Barnsley 21 10 8 3 38 26 38	NNP CD CD CD CD CD CD CD
Crystal Palace 21 9 8 4 46 22 35	NNP NNP CD CD CD CD CD CD CD
Wolverhampton 21 9 6 6 29 21 33	NN CD CD CD CD CD CD CD
Tranmere 22 9 5 8 31 26 32	NN CD CD CD CD CD CD CD
Norwich 20 9 5 6 27 21 32	NNP CD CD CD CD CD CD CD
Birmingham 22 8 8 6 23 21 32	NNP CD CD CD CD CD CD CD
Oxford 22 8 6 8 27 21 30	NNP CD CD CD CD CD CD CD
Stoke 20 8 6 6 27 30 30	VB CD CD CD CD CD CD CD
Swindon 22 9 2 11 32 28 29	NN CD CD CD CD CD CD CD
Charlton 21 9 2 10 23 29 29	NNP CD CD CD CD CD CD CD
Huddersfield 22 7 7 8 25 28 28	VBN CD CD CD CD CD CD CD
Queens Park Rangers 22 7 7 8 25 28 28	NNP NNP NNPS CD CD CD CD CD CD CD
Port Vale 22 6 10 6 19 22 28	NNP NNP CD CD CD CD CD CD CD
Ipswich 22 6 8 8 27 32 26	NNP CD CD CD CD CD CD CD
Manchester City 22 8 2 12 26 35 26	NNP NNP CD CD CD CD CD CD CD
Portsmouth 22 7 5 10 25 29 26	NNP CD CD CD CD CD CD CD
Reading 22 7 5 10 25 33 26	VBG CD CD CD CD CD CD CD
West Bromwich 20 5 9 6 26 31 24	NNP NNP CD CD CD CD CD CD CD
Southend 22 5 9 8 23 36 24	NNP CD CD CD CD CD CD CD
Grimsby 22 5 6 11 24 41 21	RB CD CD CD CD CD CD CD
Bradford 22 5 6 11 21 37 21	NNP CD CD CD CD CD CD CD
Oldham 22 4 8 10 23 28 20	NNP CD CD CD CD CD CD CD
Division Two	NNP CD
Brentford 22 11 7 4 35 23 40	NNP CD CD CD CD CD CD CD
Millwall 22 11 7 4 32 22 40	NNP CD CD CD CD CD CD CD
Bury 21 11 6 4 33 20 39	VB CD CD CD CD CD CD CD
Luton 21 11 4 6 34 25 37	NN CD CD CD CD CD CD CD
Burnley 22 11 4 7 30 22 37	RB CD CD CD CD CD CD CD
Chesterfield 21 11 4 6 22 16 37	NNP CD CD CD CD CD CD CD
Stockport 22 10 6 6 29 25 36	VB CD CD CD CD CD CD CD
Watford 21 9 9 3 24 18 36	NNP CD CD CD CD CD CD CD
Wrexham 20 9 8 3 27 22 35	UH CD CD CD CD CD CD CD
Crewe 21 11 1 9 29 21 34	VB CD CD CD CD CD CD CD
Bristol City 21 9 6 6 36 23 33	NNP NNP CD CD CD CD CD CD CD
Bristol Rovers 22 7 7 8 22 23 28	NNP NNP CD CD CD CD CD CD CD
Shrewsbury 22 7 6 9 26 33 27	RB CD CD CD CD CD CD CD
York 21 7 5 9 23 29 26	NNP CD CD CD CD CD CD CD
Blackpool 22 5 10 7 22 24 25	NNP CD CD CD CD CD CD CD
Walsall 21 7 4 10 21 25 25	NNP CD CD CD CD CD CD CD
Gillingham 22 7 4 11 21 27 25	NNP CD CD CD CD CD CD CD
Preston 22 7 4 11 21 27 25	NNP CD CD CD CD CD CD CD
Bournemouth 22 7 4 11 20 27 25	NNP CD CD CD CD CD CD CD
Plymouth 22 5 8 9 24 31 23	NN CD CD CD CD CD CD CD
Peterborough 22 4 8 10 32 41 20	NNP CD CD CD CD CD CD CD
Notts County 21 5 5 11 15 23 20	NNP NNP CD CD CD CD CD CD CD
Wycombe 22 4 5 13 17 33 17	NNP CD CD CD CD CD CD CD
Rotherham 21 3 6 12 18 33 15	NNP CD CD CD CD CD CD CD
Division Three	NN CD
Fulham 22 15 3 4 36 16 48	NNP CD CD CD CD CD CD CD
Cambridge 22 13 3 6 33 27 42	NNP CD CD CD CD CD CD CD
Wigan 21 12 4 5 39 24 40	NN CD CD CD CD CD CD CD
Carlisle 22 11 7 4 32 20 40	NNP CD CD CD CD CD CD CD
Cardiff 21 10 4 7 25 22 34	NNP CD CD CD CD CD CD CD
Swansea 22 9 5 8 25 25 32	NN CD CD CD CD CD CD CD
Barnet 22 8 8 6 23 17 32	NN CD CD CD CD CD CD CD
Colchester 22 7 10 5 32 26 31	NNP CD CD CD CD CD CD CD
Scunthorpe 22 9 4 9 28 30 31	NNP CD CD CD CD CD CD CD
Northampton 22 8 6 8 31 26 30	NN CD CD CD CD CD CD CD
Scarborough 21 7 9 5 30 27 30	NNP CD CD CD CD CD CD CD
Lincoln 22 8 6 8 28 33 30	NNP CD CD CD CD CD CD CD
Chester 21 8 6 7 23 23 30	NNP CD CD CD CD CD CD CD
Hull 22 6 11 5 20 22 29	NNP CD CD CD CD CD CD CD
Torquay 22 8 4 10 22 24 28	RB CD CD CD CD CD CD CD
Rochdale 21 6 8 7 27 26 26	NNP CD CD CD CD CD CD CD
Exeter 22 7 5 10 21 28 26	NNP CD CD CD CD CD CD CD
Doncaster 22 7 3 12 24 33 24	NNP CD CD CD CD CD CD CD
Mansfield 21 5 9 7 21 22 24	NNP CD CD CD CD CD CD CD
Leyton Orient 21 6 6 9 16 19 24	NNP NNP CD CD CD CD CD CD CD
Hereford 22 6 5 11 23 31 23	VBN CD CD CD CD CD CD CD
Darlington 22 6 4 12 30 39 22	NNP CD CD CD CD CD CD CD
Hartlepool 21 6 4 11 23 28 22	NNP CD CD CD CD CD CD CD
Brighton 22 3 4 15 18 42 13	NN CD CD CD CD CD CD CD
SOCCER - VIEIRA SAVES ARSENAL WITH LAST-MINUTE EQUALISER .	NN : NNP NNP NNP IN NN NNP .
LONDON 1996-12-07	NNP CD
Frenchman Patrick Vieira blasted a last-minute goal to salvage a 2-2 draw for English premier league leaders Arsenal at home to Derby on Saturday .	NNP NNP NNP VBD DT JJ NN TO VB DT CD NN IN JJ JJ NN NNS NNP IN NN TO NNP IN NNP .
The London club had been rocked by a two-goal burst from forwards Dean Sturridge and Darryl Powell in the 62nd and 71st minutes which overturned Arsenal 's 1-0 lead from a diving header by captain Tony Adams on the stroke of halftime .	DT NNP NN VBD VBN VBN IN DT JJ NN IN RB NNP NNP CC NNP NNP IN DT JJ CC JJ NNS WDT VBD NNP POS CD JJ IN DT JJ NN IN NN NNP NNP IN DT NN IN NN .
Liverpool suffered an upset first home league defeat of the season , beaten 1-0 by a Guy Whittingham goal for Sheffield Wednesday .	JJ VBD DT NN RB NN NN NN IN DT NN , VBN JJ IN DT NNP NNP NN IN NNP NNP .
Wimbledon leap-frogged over Liverpool into second place by winning 3-1 at Sunderland to extend their unbeaten league and cup run to 18 games .	NNP VBD IN NNP IN JJ NN IN VBG CD IN NNP TO VB PRP$ JJ NN CC NN VB TO CD NNS .
Two strikes by Efan Ekoku in the first half and a late goal from fellow forward Dean Holdsworth secured victory for Wimbledon , who trail pacemakers Arsenal by four points .	CD NNS IN JJ NNP IN DT JJ DT CC DT JJ NN IN NN RB NNP NNP VBN NN IN NNP , WP VBP NNS JJ IN CD NNS .
SOCCER - SCOTTISH LEAGUE AND CUP RESULTS .	NN : NNP NNP CC NNP NNS .
GLASGOW 1996-12-07	NNP CD
Results of Scottish league and cup	NNS IN JJ NN CC NN
matches played on Saturday :	NNS VBN IN NNP :
Premier division	NNP NN
Dunfermline 2 Aberdeen 3	NNP CD NNP CD
Hearts 0 Raith 0	NNPS CD NNP CD
Kilmarnock 0 Dundee United 2	NN CD NNP NNP CD
Motherwell 2 Celtic 1	NNP CD NNP CD
Rangers 4 Hibernian 3	NNPS CD JJ CD
Division one	NN CD
Dundee 2 Falkirk 0	NNP CD NNP CD
Greenock Morton 0 St Johnstone 2	NNP NNP CD NNP NNP CD
Postponed : Airdrieonians v Clydebank ( to Wednesday ) , East	VBN : NNS FW NNP ( TO NNP ) , NNP
Fife v Partick , Stirling v St Mirren ( to Tuesday )	NNP FW NNP , NNP FW NNP NNP ( TO NNP )
Division two	NN CD
Livingston 2 Stenhousemuir 1	NNP CD NNP CD
Stranraer 0 Brechin 1	NNP CD NNP CD
Division three	NN CD
Ross County 4 Montrose 4	NNP NNP CD NNP CD
Postponed : Forfar v Alloa , Inverness Thistle v Queen 's Park	VBN : JJ NNP NNP , NNP NNP FW NNP POS NNP
Scottish Cup first round	NNP NNP RB NN
Alloa 3 Hawick 1	NN CD NNP CD
Elgin City 0 Whitehill 3	NNP NNP CD NNP CD
Postponed : Albion v Forfar , Huntly v Clyde ( both now play on	VBN : NNP NNP NNP , NNP FW NNP ( DT RB VB IN
December 14 )	NNP CD )
SOCCER - ENGLISH LEAGUE AND CUP RESULTS .	NN : JJ NN CC RP NNS .
LONDON 1996-12-07	NNP CD
Results of English league and cup	NNS IN JJ NN CC NN
matches on Saturday :	NNS IN NNP :
Premier league	NNP NN
Arsenal 2 Derby 2	JJ CD NNP CD
Chelsea 2 Everton 2	NNP CD NN CD
Coventry 1 Tottenham 2	NNP CD NNP CD
Leicester 1 Blackburn 1	NNP CD NNP CD
Liverpool 0 Sheffield Wednesday 1	NNP CD NNP NNP CD
Middlesbrough 0 Leeds 0	JJ CD NNPS CD
Southampton 0 Aston Villa 1	NNP CD NNP NNP CD
Sunderland 1 Wimbledon 3	NNP CD NN CD
Division one	NN CD
Barnsley 3 Southend 0	NNP CD NNP CD
Birmingham 0 Grimsby 0	NNP CD NNP CD
Charlton 2 Swindon 0	NNP CD NNP CD
Crystal Palace 2 Oxford 2	NNP NNP CD NNP CD
